City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
493,Nuuk,64.1835,-51.7216,52.41,76,40,8.05,GL,2022-08-02 21:22:56,scattered clouds
494,Hearst,49.6835,-83.6665,70.05,67,78,6.17,CA,2022-08-02 21:20:07,broken clouds
495,Talcahuano,-36.7167,-73.1167,51.75,67,0,7.25,CL,2022-08-02 21:20:16,clear sky
496,Kitimat,54.0524,-128.6534,62.98,22,100,3.0,CA,2022-08-02 21:23:57,overcast clouds
497,Yar-Sale,66.8333,70.8333,55.92,65,11,7.16,RU,2022-08-02 21:23:57,few clouds
498,Port Hedland,-20.3167,118.5667,66.25,88,100,10.36,AU,2022-08-02 21:20:14,overcast clouds
499,Ojinaga,29.5667,-104.4167,101.35,27,40,8.05,MX,2022-08-02 21:23:58,scattered clouds
500,Nome,64.5011,-165.4064,69.12,46,0,10.36,US,2022-08-02 21:23:58,clear sky
501,Cuamba,-14.8031,36.5372,64.92,77,93,5.14,MZ,2022-08-02 21:23:58,overcast clouds
502,San Jose,37.3394,-121.895,98.69,39,75,16.11,US,2022-08-02 21:19:52,broken clouds
503,Barcelos,41.5388,-8.6151,72.91,90,7,2.75,PT,2022-08-02 21:23:59,clear sky
504,Adrar,20.5022,-10.0711,97.88,23,11,12.35,MR,2022-08-02 21:23:59,few clouds
505,Lhokseumawe,5.1801,97.1507,76.73,84,100,4.16,ID,2022-08-02 21:23:59,overcast clouds
506,Marrakesh,31.6315,-8.0083,98.67,23,75,9.22,MA,2022-08-02 21:24:00,broken clouds
507,Vardo,70.3705,31.1107,55.38,94,20,2.3,NO,2022-08-02 21:24:00,few clouds
508,Parbatipur,25.6649,88.9247,81.95,85,100,3.31,BD,2022-08-02 21:24:00,overcast clouds
509,Mpraeso,6.5932,-0.7346,69.6,82,91,3.51,GH,2022-08-02 21:24:01,overcast clouds
510,Mazagao,-0.115,-51.2894,78.85,91,84,4.76,BR,2022-08-02 21:24:01,light rain
